year,posth_mf,posth_my,posth_ma,posth_ff,posth_fy,posth_fa,posth_total,preh_mf,preh_my,preh_ma,preh_ff,preh_fy,preh_fa,preh_total,lambda,mf_harvest,my_harvest,ma_harvest,ff_harvest,fy_harvest,fa_harvest,total_harvest,iteration
6,3627,2367,4313,3768,2410,6987,23472,5604,2913,6470,5277,3213,8893,32370,1.092,966,360,1947,679,667,1083,5702,10
7,4129,2500,4500,4104,2546,7716,25495,6047,3296,6576,5776,3542,9298,34535,1.067,1042,415,1932,716,710,1106,5921,10
8,4485,2820,4586,4516,2832,7988,27227,6311,3604,6862,6110,3856,9454,36197,1.048,1118,428,1961,777,816,1147,6247,10
9,4655,3098,4826,4792,3040,8046,28457,6385,3762,7290,6205,4135,9638,37415,1.034,1166,465,2142,738,885,1107,6503,10
10,4693,3217,5057,4877,3250,8274,29368,6710,3775,7550,6367,4187,9973,38562,1.031,1113,481,2304,793,853,1198,6742,10
11,4979,3217,5129,4958,3334,8503,30120,6879,3998,7544,6528,4292,10100,39341,1.02,1181,553,2259,809,919,1234,6955,10
12,5038,3372,5169,5118,3373,8524,30594,6889,3994,7747,6525,4378,10053,39586,1.006,1212,491,2304,776,956,1175,6914,10
13,5061,3433,5340,5156,3422,8521,30933,6788,4059,7962,6572,4422,10021,39824,1.006,1120,557,2345,842,922,1189,6975,10
14,5038,3428,5488,5145,3500,8490,31089,6816,4015,8053,6655,4403,10094,40036,1.005,1189,500,2389,858,920,1152,7008,10
15,5002,3420,5538,5204,3483,8578,31225,7100,4048,8116,6687,4476,10155,40582,1.014,1233,515,2362,875,946,1189,7120,10
16,5246,3445,5617,5162,3530,8560,31560,6939,4185,8197,6580,4415,10136,40452,0.997,1223,525,2391,810,944,1159,7052,10
17,5088,3579,5662,5143,3471,8586,31529,6815,4023,8374,6584,4383,10051,40230,0.995,1111,511,2526,792,914,1186,7040,10
18,5098,3436,5686,5196,3469,8485,31370,6860,4080,8255,6537,4498,9987,40217,1,1226,520,2484,823,931,1203,7187,10
19,4996,3488,5639,5154,3567,8414,31258,6816,4008,8261,6727,4420,10125,40357,1.003,1166,491,2422,813,916,1255,7063,10
20,5041,3443,5693,5296,3504,8544,31521,6948,3998,8273,6607,4512,10046,40384,1.001,1215,529,2387,826,914,1195,7066,10
21,5122,3391,5740,5207,3598,8424,31482,6899,4111,8281,6671,4478,10078,40518,1.003,1187,512,2429,812,946,1183,7069,10
22,5079,3521,5716,5285,3532,8551,31684,6787,4087,8356,6530,4537,10134,40431,0.998,1177,546,2467,793,909,1176,7068,10
23,5022,3463,5737,5136,3628,8589,31575,6978,4012,8294,6756,4446,10354,40840,1.01,1207,491,2494,787,928,1221,7128,10
24,5164,3451,5655,5322,3518,8737,31847,7111,4159,8270,6668,4593,10335,41136,1.007,1253,525,2521,846,977,1228,7350,10
25,5229,3539,5616,5228,3616,8751,31979,7089,4180,8292,6692,4500,10286,41039,0.998,1235,545,2456,804,937,1179,7156,10
26,5279,3569,5681,5267,3563,8737,32096,7013,4249,8374,6825,4555,10311,41327,1.007,1158,548,2506,852,929,1253,7246,10
0,3018,2390,4440,2415,2817,6430,21510,,,,,,,,,,,,,,,,
