Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans,iteration
1,8705,4212,6731,10212,4690,6409,40959,0,1,0,0,0,0,1,2627,510,1214,1170,1022,845,1046,162,125,490,290,84,0,0,0,0,1,0,0,1
2,8771,4202,6800,10227,4567,6614,41181,4,0,0,0,1,0,5,2670,589,1249,1236,931,823,1082,175,148,520,298,76,3,2,1,0.001,1,4.1,5,1
3,8637,4224,6754,10141,4786,6506,41048,1,0,0,0,0,0,1,2577,534,1214,1198,1051,892,1007,159,121,466,283,82,1,0,1,0,0,4.1,6,1
4,8683,4228,6936,10432,4544,6458,41281,0,0,0,0,0,0,0,2642,519,1333,1312,958,821,1068,159,145,541,282,88,0,0,1,0,0,4.1,6,1
5,8660,4239,6766,10356,4617,6541,41179,0,0,0,0,0,0,0,2619,550,1235,1281,951,865,1026,163,119,487,306,99,0,0,1,0,0,4.1,6,1
6,8676,4192,6780,10393,4633,6559,41233,0,0,0,0,0,0,0,2562,517,1217,1194,1009,855,987,146,112,478,302,81,0,0,1,0,0,4.1,6,1
7,8754,4193,6880,10279,4645,6506,41257,0,0,0,0,0,0,0,2624,542,1227,1209,969,836,1036,158,121,482,297,82,0,0,1,0,0,4.1,6,1
8,8725,4248,6665,10400,4629,6547,41214,0,0,0,0,0,0,0,2660,549,1219,1209,949,869,1089,168,113,494,282,85,0,0,1,0,0,4.1,6,1
9,8693,4172,6876,10458,4638,6667,41504,0,0,0,0,0,0,0,2591,548,1268,1245,966,899,1014,151,144,474,286,75,0,0,1,0,0,4.1,6,1
10,8665,4236,6927,10535,4732,6662,41757,0,0,0,0,0,0,0,2564,553,1269,1277,969,850,1025,165,130,488,279,85,0,0,1,0,0,4.1,6,1
11,8710,4278,7022,10689,4728,6679,42106,0,0,0,0,0,0,0,2664,564,1301,1308,963,883,1113,180,145,554,288,113,0,0,1,0,0,4.1,6,1
12,8663,4293,6909,10594,4764,6882,42105,0,0,0,0,0,0,0,2529,557,1254,1237,988,928,1010,164,121,483,297,88,0,0,1,0,0,4.1,6,1
13,8800,4274,7159,10695,4899,6726,42553,0,0,0,0,0,0,0,2674,559,1271,1245,1027,817,1091,152,122,501,311,82,0,0,1,0,0,4.1,6,1
14,8842,4443,7194,10851,4746,6721,42797,0,0,0,0,0,0,0,2665,560,1259,1290,986,898,1088,148,139,545,301,84,0,0,1,0,0,4.1,6,1
15,9032,4461,7080,10812,4714,6804,42903,0,0,0,0,0,0,0,2726,585,1263,1309,992,853,1103,182,99,547,286,89,0,0,1,0,0,4.1,6,1
16,9083,4442,7038,10856,4868,6935,43222,0,0,0,0,0,0,0,2769,615,1251,1266,985,896,1124,171,127,527,293,107,0,0,1,0,0,4.1,6,1
17,9053,4384,7236,11042,4876,6921,43512,0,0,0,0,0,0,0,2747,527,1277,1319,990,894,1080,171,114,533,270,80,0,0,1,0,0,4.1,6,1
18,9058,4519,7289,11020,4939,6940,43765,0,0,0,0,0,0,0,2754,623,1309,1320,1069,897,1095,205,145,522,325,98,0,0,1,0,0,4.1,6,1
19,9090,4587,7201,11045,4933,6992,43848,0,0,0,0,0,0,0,2745,570,1263,1338,1018,891,1126,175,128,528,290,97,0,0,1,0,0,4.1,6,1
20,9268,4498,7370,11130,5041,7008,44315,0,0,0,0,0,0,0,2842,599,1329,1297,1074,932,1147,184,130,489,304,75,0,0,1,0,0,4.1,6,1
21,9200,4584,7343,11280,4912,7098,44417,0,0,0,0,0,0,0,2698,616,1353,1346,1033,895,1089,183,126,537,309,90,0,0,1,0,0,4.1,6,1
22,9327,4562,7564,11332,5085,7126,44996,0,0,0,0,0,0,0,2746,626,1338,1412,1067,928,1087,178,124,580,320,93,0,0,1,0,0,4.1,6,1
23,9391,4659,7425,11419,5052,7276,45222,0,0,0,0,0,0,0,2801,611,1359,1404,1038,952,1128,179,131,569,316,91,0,0,1,0,0,4.1,6,1
24,9486,4545,7598,11501,5122,7302,45554,0,0,0,0,0,0,0,2873,599,1347,1419,1034,916,1142,173,134,571,293,88,0,0,1,0,0,4.1,6,1
25,9413,4728,7702,11406,5261,7314,45824,0,0,0,0,0,0,0,2885,613,1377,1352,1117,940,1178,178,149,559,337,85,0,0,1,0,0,4.1,6,1
1,8775,4204,6965,10376,4708,6584,41612,0,1,0,0,0,0,1,2634,557,1259,1203,1011,882,1079,169,134,509,309,75,0,0,0,0,1,0,0,2
2,8698,4260,6921,10486,4664,6717,41746,2,0,0,0,0,0,2,2604,558,1263,1309,1041,896,1043,175,115,522,325,85,0,0,0,0,2,4.5,2,2
3,8724,4255,6859,10309,4760,6502,41409,4,0,0,0,0,0,4,2644,510,1307,1275,977,818,1065,154,139,490,274,82,2,1,1,0,1,4.5,5,2
4,8769,4203,6966,10525,4643,6568,41674,2,0,0,0,0,0,2,2587,531,1294,1229,949,857,1044,167,126,467,292,96,1,0,1,0,1,4.5,5,2
5,8819,4285,7070,10498,4660,6656,41988,0,0,0,0,0,0,0,2658,573,1279,1256,980,849,1101,157,121,487,286,87,0,0,1,0,0,4.5,5,2
6,8828,4374,6917,10615,4735,6682,42151,0,0,0,0,0,0,0,2682,575,1250,1244,994,881,1087,165,118,487,308,96,0,0,1,0,0,4.5,5,2
7,8876,4206,6982,10682,4758,6738,42242,0,0,0,0,0,0,0,2661,537,1232,1223,962,885,1068,163,128,472,258,92,0,0,1,0,0,4.5,5,2
8,8777,4341,7248,10990,4789,6939,43084,0,0,0,0,0,0,0,2607,616,1275,1310,971,918,1042,178,127,513,290,100,0,0,1,0,0,4.5,5,2
9,8914,4536,7359,10963,4921,6907,43600,0,0,0,0,0,0,0,2662,592,1320,1317,1057,927,1034,177,134,545,310,91,0,0,1,0,0,4.5,5,2
10,9062,4550,7163,11046,4892,6924,43637,0,0,0,0,0,0,0,2710,589,1240,1311,1036,888,1060,163,122,536,342,100,0,0,1,0,0,4.5,5,2
11,9218,4426,7244,11085,4905,6996,43874,0,0,0,0,0,0,0,2719,564,1297,1345,1022,881,1105,170,148,536,317,85,0,0,1,0,0,4.5,5,2
12,9241,4478,7360,11196,4923,6862,44060,0,0,0,0,0,0,0,2830,589,1307,1327,1007,888,1109,187,114,528,293,88,0,0,1,0,0,4.5,5,2
13,9157,4598,7502,11171,4844,7054,44326,0,0,0,0,0,0,0,2680,589,1324,1314,1038,927,1073,161,146,516,306,89,0,0,1,0,0,4.5,5,2
14,9399,4700,7293,11141,4973,7135,44641,0,0,0,0,0,0,0,2826,616,1359,1323,1064,883,1117,209,139,556,328,86,0,0,1,0,0,4.5,5,2
15,9498,4489,7456,11230,5113,7040,44826,0,0,0,0,0,0,0,2918,586,1327,1341,1069,921,1181,151,119,525,288,86,0,0,1,0,0,4.5,5,2
16,9306,4588,7465,11380,5019,7277,45035,0,0,0,0,0,0,0,2722,556,1398,1439,1032,936,1105,162,132,577,297,104,0,0,1,0,0,4.5,5,2
17,9403,4586,7506,11420,5154,7075,45144,0,0,0,0,0,0,0,2746,560,1328,1395,1091,891,1098,188,133,564,308,88,0,0,1,0,0,4.5,5,2
18,9496,4633,7578,11450,5037,7369,45563,0,0,0,0,0,0,0,2914,561,1379,1388,1033,955,1188,172,134,559,326,80,0,0,1,0,0,4.5,5,2
19,9503,4687,7688,11374,5250,7220,45722,0,0,0,0,0,0,0,2878,578,1335,1377,1097,942,1145,175,139,544,335,86,0,0,1,0,0,4.5,5,2
20,9620,4781,7643,11543,5152,7256,45995,0,0,0,0,0,0,0,2832,626,1381,1470,1087,913,1124,178,130,568,309,97,0,0,1,0,0,4.5,5,2
21,9698,4806,7543,11486,5153,7231,45917,0,0,0,0,0,0,0,2945,655,1387,1362,1065,906,1159,195,150,546,328,110,0,0,1,0,0,4.5,5,2
22,9726,4605,7697,11630,5155,7333,46146,0,0,0,0,0,0,0,2966,563,1426,1402,1076,974,1184,172,128,542,329,90,0,0,1,0,0,4.5,5,2
23,9586,4802,7712,11566,5216,7448,46330,0,0,0,0,0,0,0,2910,591,1366,1412,1096,950,1155,163,137,563,346,97,0,0,1,0,0,4.5,5,2
24,9728,4800,7662,11621,5285,7478,46574,0,0,0,0,0,0,0,2852,616,1417,1457,1141,1018,1128,183,156,580,370,100,0,0,1,0,0,4.5,5,2
25,9808,4755,7585,11611,5290,7358,46407,0,0,0,0,0,0,0,2980,618,1319,1427,1109,931,1154,175,128,605,343,78,0,0,1,0,0,4.5,5,2
1,8746,4258,6809,10322,4707,6561,41403,0,1,0,0,0,0,1,2619,556,1253,1254,1015,835,1039,167,125,487,298,89,0,0,0,0,1,0,0,3
2,8782,4203,6701,10394,4634,6487,41201,5,0,0,0,1,0,6,2574,560,1211,1202,948,796,1046,147,101,525,279,76,1,0,0,0,4,2.2,5,3
3,8823,4159,6826,10503,4665,6522,41498,7,0,0,2,1,0,10,2632,577,1278,1317,1036,840,1020,180,125,528,309,76,1,0,0,0,7,3.6,13,3
4,8781,4178,7027,10497,4630,6615,41728,9,0,0,2,1,1,13,2569,531,1291,1241,985,870,1000,154,126,517,287,94,5,2,1,0.001,6,4.1,24,3
5,8859,4332,7025,10578,4666,6721,42181,5,4,4,13,4,4,34,2710,529,1287,1263,958,898,1089,168,132,499,303,93,3,0,1,0,17,8.1,55,3
6,8845,4318,6947,10648,4719,6702,42179,15,4,14,23,10,8,74,2651,559,1227,1280,940,848,1067,154,117,493,290,104,16,5,1,0.002,32,15.8,127,3
7,8873,4362,7070,10728,4756,6805,42594,43,8,11,37,16,15,130,2671,577,1326,1320,950,899,1113,184,119,533,277,94,16,6,1,0.003,43,15.8,248,3
8,8907,4303,7065,10716,4878,6802,42671,86,21,22,69,23,21,242,2635,542,1273,1240,1019,890,1059,164,114,504,308,99,54,21,1,0.009,79,19.1,461,3
9,8948,4364,7122,10880,4826,6986,43126,179,21,32,125,28,49,434,2730,552,1263,1285,1080,905,1059,159,125,518,340,105,101,42,1,0.018,133,33.1,872,3
10,8930,4350,7193,10839,4936,6842,43090,237,48,44,193,87,60,669,2775,555,1312,1291,1008,899,1121,184,128,517,286,80,124,35,1,0.015,204,36.1,1472,3
11,8770,4450,7195,10956,4813,6955,43139,383,68,93,329,106,113,1092,2641,549,1301,1336,1016,886,1076,164,124,511,297,98,235,79,1,0.035,299,36.1,2491,3
12,8887,4459,7001,10772,4933,6934,42986,562,109,155,484,160,172,1642,2671,620,1291,1260,1015,864,1079,177,111,510,311,83,307,91,1,0.04,423,36.1,3986,3
13,8756,4272,7108,10877,4932,6930,42875,843,165,237,740,233,285,2503,2617,558,1292,1302,1025,862,1044,166,117,526,303,95,484,154,1,0.068,573,37,6322,3
14,8522,4328,7121,10741,4885,6845,42442,1262,276,305,1097,369,440,3749,2524,573,1272,1248,989,859,1034,169,120,507,317,81,766,247,1,0.111,750,38.9,9755,3
15,8383,4302,7006,10540,4726,6683,41640,1711,367,485,1605,488,593,5249,2491,586,1264,1226,951,878,1003,185,110,514,305,88,1086,352,1,0.16,907,39.2,14530,3
16,8067,4162,6759,10000,4506,6368,39862,2100,530,712,2165,646,806,6959,2423,564,1218,1137,936,810,930,173,115,452,294,88,1360,435,1,0.212,1044,42.2,20868,3
17,7552,3943,6287,9310,4229,5835,37156,2538,765,882,2719,866,1059,8829,2263,528,1141,1151,878,759,909,160,130,487,274,73,1655,575,1,0.283,1152,42.7,28997,3
18,6887,3556,5617,8258,3754,5263,33335,2977,873,1166,3213,1016,1270,10515,1962,455,1019,1004,815,647,789,135,116,405,279,59,1904,631,1,0.354,1234,43.7,38665,3
19,6011,2989,4606,7011,3294,4463,28374,2966,918,1177,3254,1088,1350,10753,1795,401,821,854,687,592,727,112,90,328,193,42,2013,636,1,0.426,1290,43.7,48621,3
20,4792,2372,3727,5680,2589,3710,22870,2507,871,1081,2727,982,1224,9392,1455,312,676,715,575,482,568,91,66,300,168,45,1757,556,1,0.449,1305,44.4,57488,3
21,3668,1845,2973,4364,2059,2788,17697,2016,650,925,2147,743,1025,7506,1096,247,550,511,439,384,440,82,58,218,136,31,1429,469,1,0.486,1216,44.4,64551,3
22,2744,1427,2277,3299,1501,2174,13422,1533,541,709,1722,559,756,5820,847,181,420,404,326,293,324,59,49,151,101,33,1111,349,1,0.487,1002,44.4,70148,3
23,2070,1117,1638,2389,1191,1643,10048,1248,415,569,1435,514,624,4805,637,136,311,297,255,198,241,37,25,131,65,21,930,291,1,0.56,827,44.4,74756,3
24,1536,748,1185,1829,878,1176,7352,932,285,470,1200,417,524,3828,481,102,219,231,195,149,187,30,17,96,57,17,750,243,1,0.601,679,44.4,78376,3
25,1058,522,810,1190,581,799,4960,657,207,343,857,316,405,2785,323,68,143,150,118,103,126,11,19,55,30,8,503,149,1,0.598,535,44.4,81205,3
1,8792,4195,6728,10336,4652,6641,41344,0,1,0,0,0,0,1,2637,546,1226,1287,1031,914,1098,147,124,516,328,85,1,1,1,0,0,0,0,4
2,8747,4177,6689,10202,4631,6480,40926,0,0,0,0,0,0,0,2579,537,1203,1239,960,838,1046,161,135,484,287,103,0,0,1,0,0,1,0,4
3,8765,4151,6786,10264,4613,6496,41075,0,0,0,0,0,0,0,2626,527,1181,1201,905,867,1029,159,121,445,277,96,0,0,1,0,0,1,0,4
4,8750,4250,6798,10378,4599,6552,41327,0,0,0,0,0,0,0,2641,529,1244,1222,979,827,1081,172,127,497,285,85,0,0,1,0,0,1,0,4
5,8780,4134,6751,10394,4673,6640,41372,0,0,0,0,0,0,0,2621,560,1224,1216,1003,836,1068,166,125,496,295,97,0,0,1,0,0,1,0,4
6,8701,4146,6904,10505,4742,6560,41558,0,0,0,0,0,0,0,2713,525,1251,1215,1005,872,1118,171,117,490,298,87,0,0,1,0,0,1,0,4
7,8587,4240,6970,10697,4606,6679,41779,0,0,0,0,0,0,0,2540,529,1246,1249,988,899,1014,161,129,528,295,81,0,0,1,0,0,1,0,4
8,8686,4302,7099,10707,4756,6833,42383,0,0,0,0,0,0,0,2610,577,1214,1305,1030,837,1021,185,107,521,299,94,0,0,1,0,0,1,0,4
9,8759,4523,7058,10634,4904,6821,42699,0,0,0,0,0,0,0,2553,631,1306,1288,1005,863,1033,190,133,511,320,74,0,0,1,0,0,1,0,4
10,9033,4350,7081,10710,4872,6872,42918,0,0,0,0,0,0,0,2663,534,1252,1346,1029,863,1065,158,128,569,302,89,0,0,1,0,0,1,0,4
11,9088,4343,7305,10879,4926,6805,43346,0,0,0,0,0,0,0,2689,533,1277,1354,994,862,1036,180,125,543,308,92,0,0,1,0,0,1,0,4
12,9110,4577,7240,10891,4848,6911,43577,0,0,0,0,0,0,0,2733,582,1294,1319,992,900,1118,164,125,554,261,96,0,0,1,0,0,1,0,4
13,9249,4502,7156,11031,4928,6993,43859,0,0,0,0,0,0,0,2813,561,1297,1291,1000,897,1154,164,109,553,305,96,0,0,1,0,0,1,0,4
14,9326,4435,7390,11107,4976,7170,44404,0,0,0,0,0,0,0,2856,560,1359,1372,1016,957,1158,166,153,529,299,88,0,0,1,0,0,1,0,4
15,9228,4548,7395,11179,5055,7104,44509,0,0,0,0,0,0,0,2822,569,1325,1353,1120,943,1131,187,129,562,342,101,0,0,1,0,0,1,0,4
16,9284,4629,7467,11255,5055,7096,44786,0,0,0,0,0,0,0,2719,591,1414,1316,1089,915,1102,190,144,525,349,93,0,0,1,0,0,1,0,4
17,9489,4567,7406,11358,5029,7127,44976,0,0,0,0,0,0,0,2859,558,1323,1405,1058,923,1114,158,125,569,350,95,0,0,1,0,0,1,0,4
18,9526,4642,7420,11415,5075,7309,45387,0,0,0,0,0,0,0,2823,601,1324,1330,1018,936,1171,181,134,538,315,99,0,0,1,0,0,1,0,4
19,9651,4613,7714,11533,5226,7146,45883,0,0,0,0,0,0,0,2940,624,1357,1376,1053,958,1215,202,136,555,317,94,0,0,1,0,0,1,0,4
20,9508,4822,7711,11732,5015,7304,46092,0,0,0,0,0,0,0,2794,623,1437,1367,1069,926,1099,169,152,570,331,92,0,0,1,0,0,1,0,4
21,9748,4750,7641,11673,5224,7381,46417,0,0,0,0,0,0,0,2868,598,1350,1403,1060,961,1110,175,137,558,314,96,0,0,1,0,0,1,0,4
22,9782,4790,7831,11711,5256,7521,46891,0,0,0,0,0,0,0,2993,620,1394,1379,1115,1029,1224,159,139,535,320,111,0,0,1,0,0,1,0,4
23,9784,4817,7788,11820,5263,7590,47062,0,0,0,0,0,0,0,3000,637,1415,1389,1120,1021,1206,184,151,552,328,115,0,0,1,0,0,1,0,4
24,9793,4775,7855,11807,5315,7475,47020,0,0,0,0,0,0,0,2922,653,1427,1425,1127,968,1208,201,119,572,338,109,0,0,1,0,0,1,0,4
25,9784,4834,7752,11813,5339,7442,46964,0,0,0,0,0,0,0,2900,668,1439,1441,1157,1001,1129,188,150,603,320,109,0,0,1,0,0,1,0,4
1,8742,4191,6845,10257,4698,6507,41240,0,0,1,0,0,1,2,2556,537,1213,1179,985,807,1050,177,136,459,304,72,2,0,0,0,0,0,1,5
2,8780,4262,6835,10422,4688,6639,41626,0,0,0,0,0,0,0,2625,558,1209,1216,998,830,1009,169,136,472,274,87,0,0,0,0,0,1.4,1,5
3,8795,4314,6891,10408,4751,6542,41701,0,0,0,0,0,0,0,2631,565,1240,1254,978,905,1032,192,112,488,271,87,0,0,0,0,0,1.4,1,5
4,8875,4262,7002,10546,4560,6685,41930,0,0,0,0,0,0,0,2697,542,1268,1219,973,867,1111,164,131,534,293,78,0,0,0,0,0,1.4,1,5
5,8810,4330,6966,10529,4797,6651,42083,0,0,0,0,0,0,0,2601,572,1275,1243,988,876,1078,169,124,517,322,76,0,0,0,0,0,1.4,1,5
6,8913,4309,6969,10707,4681,6821,42400,0,0,0,0,0,0,0,2658,574,1202,1310,1001,901,1097,198,118,526,302,94,0,0,0,0,0,1.4,1,5
7,8919,4406,6949,10595,4805,6695,42369,0,0,0,0,0,0,0,2657,549,1221,1296,1035,861,1087,174,123,531,315,83,0,0,0,0,0,1.4,1,5
8,8995,4276,7042,10652,4748,6656,42369,0,0,0,0,0,0,0,2774,526,1247,1288,1014,877,1103,161,119,547,290,87,0,0,0,0,0,1.4,1,5
9,8841,4356,6907,10732,4682,6728,42246,0,0,0,0,0,0,0,2570,569,1258,1292,974,867,1051,167,124,540,308,85,0,0,0,0,0,1.4,1,5
10,8991,4269,7046,10688,4843,6848,42685,0,0,0,0,0,0,0,2647,504,1269,1299,1031,864,1010,148,125,498,283,88,0,0,0,0,0,1.4,1,5
11,9050,4362,7033,10783,4906,6810,42944,0,0,0,0,0,0,0,2746,616,1288,1240,1011,862,1111,184,113,490,330,96,0,0,0,0,0,1.4,1,5
12,8955,4388,7169,10923,4880,6819,43134,0,0,0,0,0,0,0,2655,529,1319,1258,1029,876,1072,146,123,521,299,86,0,0,0,0,0,1.4,1,5
13,9085,4396,7190,11024,4813,7058,43566,0,0,0,0,0,0,0,2658,560,1233,1343,1064,896,1059,182,130,535,293,103,0,0,0,0,0,1.4,1,5
14,9193,4486,7270,10975,5004,6910,43838,0,0,0,0,0,0,0,2723,576,1344,1341,1093,878,1085,162,119,555,316,91,0,0,0,0,0,1.4,1,5
15,9250,4471,7365,11028,4925,6990,44029,0,0,0,0,0,0,0,2804,608,1317,1311,1012,971,1109,185,108,499,292,99,0,0,0,0,0,1.4,1,5
16,9235,4542,7275,10968,4869,6989,43878,0,0,0,0,0,0,0,2806,601,1313,1253,1042,888,1119,184,128,484,273,83,0,0,0,0,0,1.4,1,5
17,9272,4498,7229,11037,4953,7002,43991,0,0,0,0,0,0,0,2773,579,1284,1357,1013,944,1107,165,117,560,297,88,0,0,0,0,0,1.4,1,5
18,9339,4521,7248,11114,4941,7048,44211,0,0,0,0,0,0,0,2756,609,1333,1322,1062,880,1143,201,138,548,292,89,0,0,0,0,0,1.4,1,5
19,9376,4421,7435,11142,5062,6909,44345,0,0,0,0,0,0,0,2828,578,1343,1384,1107,922,1113,192,121,529,372,82,0,0,0,0,0,1.4,1,5
20,9260,4625,7426,11259,4830,7134,44534,0,0,0,0,0,0,0,2830,601,1353,1345,1045,924,1123,174,148,533,327,91,0,0,0,0,0,1.4,1,5
21,9318,4635,7457,11108,5101,7125,44744,0,0,0,0,0,0,0,2784,592,1352,1307,1042,955,1106,168,122,519,324,101,0,0,0,0,0,1.4,1,5
22,9431,4619,7584,11255,5028,7031,44948,0,0,0,0,0,0,0,2813,585,1359,1344,1082,926,1111,181,162,554,344,90,0,0,0,0,0,1.4,1,5
23,9491,4699,7415,11288,4990,7204,45087,0,0,0,0,0,0,0,2838,607,1329,1331,1037,935,1101,172,124,513,306,98,0,0,0,0,0,1.4,1,5
24,9529,4628,7333,11335,5140,7069,45034,0,0,0,0,0,0,0,2862,593,1286,1357,1075,947,1151,177,108,572,312,100,0,0,0,0,0,1.4,1,5
25,9584,4557,7580,11496,5003,7216,45436,0,0,0,0,0,0,0,2866,600,1355,1378,1134,920,1165,173,155,537,354,95,0,0,0,0,0,1.4,1,5
1,8783,4156,6765,10304,4706,6548,41262,0,1,0,0,0,0,1,2653,523,1214,1321,994,861,1066,164,101,538,294,93,0,0,0,0,1,0,0,6
2,8690,4224,6760,10242,4615,6450,40981,2,0,0,0,0,0,2,2545,554,1281,1236,992,808,1002,167,129,514,284,75,0,0,0,0,2,5.8,2,6
3,8746,4158,6844,10222,4592,6525,41087,8,0,0,0,0,1,9,2603,553,1239,1237,975,824,1033,178,123,497,261,98,4,2,1,0.001,5,5.8,10,6
4,8700,4235,6832,10328,4671,6541,41307,12,1,0,2,1,0,16,2630,529,1225,1196,976,854,1055,162,130,471,300,97,3,2,1,0.001,10,6.4,24,6
5,8701,4218,6848,10362,4672,6591,41392,17,1,1,4,0,2,25,2585,552,1269,1260,992,798,1069,162,104,480,312,63,8,5,1,0.002,12,6.4,43,6
6,8705,4182,6845,10404,4772,6687,41595,21,1,4,7,3,5,41,2623,548,1266,1285,943,802,1044,168,141,509,297,72,11,5,1,0.002,17,7.1,81,6
7,8684,4192,6994,10579,4743,6683,41875,39,4,5,18,10,6,82,2617,555,1228,1292,1004,871,1016,167,133,512,299,88,12,5,1,0.002,32,13.9,154,6
8,8590,4341,7111,10597,4760,6706,42105,57,9,12,49,9,14,150,2598,541,1249,1316,1000,855,1030,165,122,531,293,84,30,9,1,0.004,52,13.9,276,6
9,8754,4444,6863,10587,4808,6754,42210,109,13,33,83,28,28,294,2610,577,1307,1331,1043,906,1021,168,153,521,329,86,68,22,1,0.01,87,15.3,562,6
10,8896,4153,6929,10569,4767,6775,42089,163,27,35,145,36,54,460,2692,532,1212,1273,1008,867,1081,145,119,533,326,79,91,37,1,0.016,136,18.4,982,6
11,8742,4349,6996,10510,4820,6699,42116,245,48,50,205,58,71,677,2612,544,1287,1262,1002,861,1059,152,130,514,314,95,138,50,1,0.022,200,19.4,1633,6
12,8811,4249,7060,10595,4753,6549,42017,414,70,85,299,100,129,1097,2665,539,1242,1315,1001,833,1023,168,113,512,321,78,213,79,1,0.036,304,33.1,2642,6
13,8699,4400,6962,10540,4606,6603,41810,627,102,122,447,161,171,1630,2656,544,1278,1252,940,888,1085,161,127,526,299,71,347,138,1,0.061,415,33.1,4065,6
14,8663,4234,6829,10412,4571,6645,41354,830,158,190,688,205,282,2353,2599,586,1194,1290,937,839,1022,169,118,509,274,95,514,173,1,0.079,534,36.5,6218,6
15,8449,4178,6695,10055,4651,6441,40469,1210,234,277,996,335,379,3431,2498,507,1236,1276,921,849,1026,154,124,511,279,102,675,240,1,0.109,659,36.5,9413,6
16,8354,4049,6424,9896,4449,6289,39461,1570,329,417,1435,465,557,4773,2536,554,1147,1193,921,834,1027,164,121,490,263,74,917,317,1,0.148,786,36.5,13781,6
17,7824,3891,6211,9429,4264,5982,37601,1901,506,604,1873,629,718,6231,2297,471,1155,1121,899,842,933,129,107,415,285,99,1203,398,1,0.202,899,39.1,19520,6
18,7303,3584,5828,8662,3988,5719,35084,2146,560,788,2265,705,879,7343,2168,457,1039,1063,819,750,840,142,103,408,237,67,1422,446,1,0.248,985,40,26299,6
19,6595,3362,5243,7845,3712,4944,31701,2168,695,836,2320,805,965,7789,1969,453,902,925,819,657,788,152,84,393,248,76,1412,484,1,0.278,1052,41.6,33589,6
20,5820,2947,4648,7005,3134,4370,27924,2194,693,872,2285,794,916,7754,1770,389,836,834,668,579,684,129,88,319,200,49,1512,479,1,0.326,1117,42.3,40806,6
21,5012,2536,4053,5992,2742,3828,24163,1996,626,808,2159,728,897,7214,1466,335,718,750,555,501,572,95,80,308,166,39,1344,440,1,0.349,1127,44.6,47478,6
22,4267,2171,3427,5032,2326,3264,20487,1784,575,802,1960,663,869,6653,1232,271,626,584,468,439,492,63,76,225,150,37,1231,379,1,0.363,1084,44.6,53700,6
23,3600,1783,2743,4135,1916,2677,16854,1660,501,622,1628,567,741,5719,1098,243,524,498,405,361,432,72,48,201,124,42,1089,354,1,0.385,1000,45.1,59116,6
24,2883,1440,2282,3388,1544,2123,13660,1417,395,590,1428,466,575,4871,811,166,411,438,337,296,336,49,46,175,107,24,881,293,1,0.398,920,46.1,63628,6
25,2351,1185,1779,2687,1249,1736,10987,1199,343,485,1239,432,517,4215,696,153,331,319,278,220,297,43,34,132,72,16,813,271,1,0.456,808,46.1,67548,6
1,8772,4197,6857,10296,4737,6463,41322,0,0,1,1,0,0,2,2660,551,1212,1212,993,874,1068,157,117,501,298,85,0,0,0,0,1,0,2,7
2,8729,4307,6834,10405,4569,6845,41689,0,0,2,4,0,0,6,2633,590,1249,1306,969,878,1081,175,117,509,297,82,0,0,0,0,3,2,7,7
3,8792,4187,6819,10266,4869,6652,41585,4,0,0,5,1,4,14,2586,552,1228,1243,1023,872,1017,165,108,495,327,78,3,2,1,0.001,6,2.8,22,7
4,8821,4196,6902,10420,4728,6668,41735,5,2,4,9,1,4,25,2696,543,1236,1256,954,827,1098,173,126,523,297,82,5,2,1,0.001,10,4.1,45,7
5,8693,4252,6997,10555,4790,6526,41813,15,3,4,18,6,4,50,2664,526,1219,1249,1014,841,1084,149,125,484,325,92,9,6,1,0.003,24,24.6,85,7
6,8696,4371,7082,10675,4656,6647,42127,25,2,13,23,3,6,72,2616,610,1268,1273,980,808,1040,174,117,478,314,70,11,3,1,0.001,31,24.6,158,7
7,8737,4428,7148,10672,4739,6766,42490,39,8,18,50,8,13,136,2653,571,1295,1271,986,903,1083,163,130,524,285,84,29,14,1,0.006,50,40.1,299,7
8,8845,4384,7017,10812,4829,6810,42697,62,26,13,76,16,25,218,2598,569,1286,1235,1001,892,1010,186,136,498,301,98,45,9,1,0.004,74,40.1,501,7
9,8917,4294,7187,10820,4882,6713,42813,177,14,22,106,30,35,384,2658,585,1306,1322,1006,924,1048,168,114,515,313,88,73,25,1,0.011,125,40.1,851,7
10,8797,4430,7012,10934,4661,6756,42590,239,46,47,151,38,67,588,2662,566,1295,1387,976,859,1026,177,137,571,266,88,113,40,1,0.018,190,40.1,1397,7
11,8853,4288,7033,10702,4777,6784,42437,377,52,64,242,80,85,900,2626,557,1275,1242,1009,886,1054,172,125,458,306,85,177,60,1,0.027,271,40.7,2207,7
12,8787,4349,7148,10672,4823,6805,42584,506,80,105,389,120,154,1354,2628,578,1314,1279,1014,954,1081,178,147,513,300,102,263,91,1,0.039,331,40.7,3440,7
